# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down,mean_episode_return_bidding,loss_bidding
0,1708663182.303471,0,-0.13948756456375122,0.032380495220422745,0,0,0,0,0,0
1,1708663182.304623,1600,-0.13948756456375122,0.032380495220422745,0,0,0.1396244913339615,0.04946620762348175,0,0
2,1708663182.3313475,3200,-0.13948756456375122,0.032380495220422745,0.13749337196350098,0.019811464473605156,0.1396244913339615,0.04946620762348175,0,0
# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down,mean_episode_return_bidding,loss_bidding
0,1708663449.7359614,0,0,0,0,0,0.09350597858428955,0.028035935014486313,0,0
1,1708663449.7370636,1600,-0.09427251666784286,0.020048217847943306,0,0,0.09350597858428955,0.028035935014486313,0,0
2,1708663449.758423,3200,-0.09427251666784286,0.020048217847943306,0.09395989030599594,0.026500804349780083,0.09350597858428955,0.028035935014486313,0,0
3,1708663459.1779397,4800,-0.0927996039390564,0.020574910566210747,0.09395989030599594,0.026500804349780083,0.09350597858428955,0.028035935014486313,0,0
4,1708663459.7106795,6400,-0.0927996039390564,0.020574910566210747,0.09395989030599594,0.026500804349780083,0.09309132397174835,0.02872379682958126,0,0
5,1708663460.1181486,8000,-0.0927996039390564,0.020574910566210747,0.09316089749336243,0.027042869478464127,0.09309132397174835,0.02872379682958126,0,0
6,1708663469.512736,9600,-0.10099681466817856,0.019584085792303085,0.09316089749336243,0.027042869478464127,0.09309132397174835,0.02872379682958126,0,0
7,1708663470.0804756,11200,-0.10099681466817856,0.019584085792303085,0.09316089749336243,0.027042869478464127,0.10039418190717697,0.03010738268494606,0,0
8,1708663470.8041627,12800,-0.10099681466817856,0.019584085792303085,0.10183333605527878,0.028023509308695793,0.10039418190717697,0.03010738268494606,0,0
9,1708663478.1262405,14400,-0.10099681466817856,0.019584085792303085,0.10183333605527878,0.028023509308695793,0.10039418190717697,0.03010738268494606,-0.26521018147468567,0.4202186167240143
10,1708663479.7901351,16000,-0.10337359458208084,0.02145860157907009,0.10183333605527878,0.028023509308695793,0.10039418190717697,0.03010738268494606,-0.26521018147468567,0.4202186167240143
11,1708663480.539663,17600,-0.10337359458208084,0.02145860157907009,0.10183333605527878,0.028023509308695793,0.10374902933835983,0.031137138605117798,-0.26521018147468567,0.4202186167240143
12,1708663481.24613,19200,-0.10337359458208084,0.02145860157907009,0.10351532697677612,0.02904560975730419,0.10374902933835983,0.031137138605117798,-0.26521018147468567,0.4202186167240143
13,1708663490.0176451,20800,-0.10166213661432266,0.020075755193829536,0.10351532697677612,0.02904560975730419,0.10374902933835983,0.031137138605117798,-0.26521018147468567,0.4202186167240143
14,1708663490.8418038,22400,-0.10166213661432266,0.020075755193829536,0.10351532697677612,0.02904560975730419,0.10150227695703506,0.027323679998517036,-0.26521018147468567,0.4202186167240143
15,1708663491.7056239,24000,-0.10166213661432266,0.020075755193829536,0.1015009805560112,0.02571296878159046,0.10150227695703506,0.027323679998517036,-0.26521018147468567,0.4202186167240143
16,1708663500.3607824,25600,-0.10285469144582748,0.020058440044522285,0.1015009805560112,0.02571296878159046,0.10150227695703506,0.027323679998517036,-0.26521018147468567,0.4202186167240143
17,1708663501.66166,27200,-0.10285469144582748,0.020058440044522285,0.1015009805560112,0.02571296878159046,0.10219812393188477,0.029544247314333916,-0.26521018147468567,0.4202186167240143
18,1708663502.4259493,28800,-0.10285469144582748,0.020058440044522285,0.10191433876752853,0.027360927313566208,0.10219812393188477,0.029544247314333916,-0.26521018147468567,0.4202186167240143
19,1708663510.63693,30400,-0.10203982889652252,0.019382042810320854,0.10191433876752853,0.027360927313566208,0.10219812393188477,0.029544247314333916,-0.26521018147468567,0.4202186167240143
20,1708663511.8940825,32000,-0.10203982889652252,0.019382042810320854,0.10191433876752853,0.027360927313566208,0.10127095133066177,0.027321895584464073,-0.26521018147468567,0.4202186167240143
21,1708663513.0236845,33600,-0.10203982889652252,0.019382042810320854,0.10208717733621597,0.02575337328016758,0.10127095133066177,0.027321895584464073,-0.26521018147468567,0.4202186167240143
22,1708663517.2864528,35200,-0.10203982889652252,0.019382042810320854,0.10208717733621597,0.02575337328016758,0.10127095133066177,0.027321895584464073,-0.23804819583892822,0.4359803795814514
23,1708663520.799121,36800,-0.09849373251199722,0.019225362688302994,0.10208717733621597,0.02575337328016758,0.10127095133066177,0.027321895584464073,-0.23804819583892822,0.4359803795814514
